Parker Collier,,,,,,,,,
Wrap:,TRUE,,,,,,,,
K(states):,5,,,,,,,,
Radius:,1,,,,,,,,
Quiescence:,TRUE,,,,,,,,
random seed:,1707229040,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,0,,,,,,,,
Rule:,3.24442E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
5,9,,0.552,0.538461538,1.83858863,1.833927218,3.625,repeating,
6,12,,0.544,0.461538462,1.83147273,1.727248606,1.685,chaos,
7,1,,0.52,0.384615385,1.795138074,1.546593564,1.93,chaos,
8,3,,0.44,0.307692308,1.58596887,1.352030102,1.98,chaos,
9,4,,0.32,0.230769231,1.368808395,1.145110414,0.04,repeating,
10,10,,0.272,0.153846154,1.113597933,0.773228349,0.04,repeating,
11,8,,0.152,0.076923077,0.614822757,0.391243564,0,dead,
12,6,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,11,,,,,,,,
Rule:,4.12213E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.685500801,2.038159682,1.79,edge,
1,2,,0.944,0.846153846,1.875009184,2.16197818,1.955,edge,
2,10,,0.896,0.769230769,1.930461585,2.10390991,1.77,edge,
3,7,,0.752,0.692307692,2.074259661,2.10390991,1.495,chaos,
4,11,,0.728,0.615384615,2.078281172,2.075869297,1.585,chaos,
5,8,,0.608,0.538461538,1.999209717,1.987773371,0.16,repeating,
6,5,,0.464,0.461538462,1.594437152,1.823026491,0.06,repeating,
7,1,,0.44,0.384615385,1.451501568,1.488525295,0.06,repeating,
8,4,,0.32,0.307692308,1.270204971,1.352030102,0.06,repeating,
9,9,,0.24,0.230769231,1.061254793,1.145110414,0.12,repeating,
10,12,,0.232,0.153846154,0.997093854,0.773228349,0.15,repeating,
11,6,,0.08,0.076923077,0.40217919,0.391243564,0,dead,
12,3,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,12,,,,,,,,
Rule:,4.12244E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.848985739,2.133937566,3.085,chaos,
1,10,,0.944,0.846153846,1.911852063,2.133937566,2.54,chaos,
2,2,,0.896,0.769230769,1.808296408,1.922023143,2.36,chaos,
